Date,Year,Month,Time,Sales,logSales,dlogSales,Changepoint,c348,s348,c432,s432,obs106
1993-01-01,1993,1,1,25801,10.15816853,-0.032525982,0,-0.577572703,0.8163392507,-0.910105971,0.414375581,0
1993-02-01,1993,2,2,26165,10.172177919,0.014009389,0,-0.332819545,-0.942990536,0.6565857558,-0.754251381,0
1993-03-01,1993,3,3,31277,10.350638282,0.1784603633,0,0.9620276716,0.2729519355,-0.285019262,0.958521789,0
1993-04-01,1993,4,4,32586,10.391638027,0.0409997451,0,-0.778462302,0.6276913613,-0.137790291,-0.990461426,0
1993-05-01,1993,5,5,32786,10.397756874,0.0061188467,0,-0.06279052,-0.998026728,0.535826795,0.8443279255,0
1993-06-01,1993,6,6,34497,10.448627643,0.0508707687,0,0.8509944818,0.52517463,-0.83752804,-0.546394347,0
1993-07-01,1993,7,7,34162,10.438869194,-0.009758449,0,-0.920231847,0.3913736668,0.9886517447,0.1502255891,0
1993-08-01,1993,8,8,33517,10.419808052,-0.019061142,0,0.2120071099,-0.977268124,-0.962027672,0.2729519355,0
1993-09-01,1993,9,9,32501,10.389026137,-0.030781915,0,0.6753328081,0.7375131174,0.762442511,-0.647055962,0
1993-10-01,1993,10,10,32534,10.390040975,0.0010148383,0,-0.992114701,0.1253332336,-0.425779292,0.9048270525,0
1993-11-01,1993,11,11,31679,10.36340928,-0.026631696,0,0.4707039322,-0.882291226,0.0125660399,-0.999921044,0
1993-12-01,1993,12,12,32017,10.374022291,0.0106130109,0,0.4483832161,0.8938414242,0.4029064357,0.9152411726,0
1994-01-01,1994,1,13,29860,10.304275071,-0.06974722,0,-0.988651745,-0.150225589,-0.745941145,-0.666011867,0
1994-02-01,1994,2,14,31959,10.37220911,0.0679340392,0,0.6936533058,-0.720309025,0.9548645447,0.2970415816,0
1994-03-01,1994,3,15,39742,10.590163842,0.2179547317,0,0.1873813146,0.9822872507,-0.992114701,0.1253332336,0
1994-04-01,1994,4,16,38191,10.550355165,-0.039808677,0,-0.910105971,-0.414375581,0.8509944818,-0.52517463,0
1994-05-01,1994,5,17,37869,10.541888114,-0.00846705,0,0.8639234172,-0.503623202,-0.556875616,0.8305958992,0
1994-06-01,1994,6,18,39511,10.584334393,0.0424462787,0,-0.087851197,0.9961336091,0.1626371652,-0.986685944,0
1994-07-01,1994,7,19,36388,10.501994329,-0.082340064,0,-0.762442511,-0.647055962,0.2608415063,0.9653816388,0
1994-08-01,1994,8,20,38533,10.559270296,0.0572759671,0,0.9685831611,-0.248689887,-0.63742399,-0.770513243,0
1994-09-01,1994,9,21,37385,10.529024833,-0.030245463,0,-0.356411879,0.9343289425,0.8994052516,0.4371157667,0
1994-10-01,1994,10,22,36654,10.509277842,-0.019746992,0,-0.556875616,-0.830595899,-0.999684189,-0.025130095,0
1994-11-01,1994,11,23,35170,10.467948725,-0.041329116,0,0.9996841893,0.0251300954,0.9202318474,-0.391373667,0
1994-12-01,1994,12,24,34399,10.445782773,-0.022165952,0,-0.597904983,0.8015669849,-0.675332808,0.7375131174,0
1995-01-01,1995,1,25,32778,10.397512838,-0.048269936,0,-0.309016994,-0.951056516,0.3090169944,-0.951056516,0
1995-02-01,1995,2,26,33412,10.416670396,0.0191575583,0,0.9548645447,0.2970415816,0.1128563849,0.9936113105,0
1995-03-01,1995,3,27,41374,10.630407943,0.2137375473,0,-0.793990399,0.6079302977,-0.514439534,-0.857526656,0
1995-04-01,1995,4,28,38132,10.548809104,-0.08159884,0,-0.037690183,-0.999289473,0.8235325976,0.5672689491,0
1995-05-01,1995,5,29,42309,10.652755108,0.1039460047,0,0.83752804,0.5463943467,-0.984564335,-0.175023059,0
1995-06-01,1995,6,30,43957,10.690967162,0.038212054,0,-0.929776486,0.3681245527,0.9685831611,-0.248689887,0
1995-07-01,1995,7,31,39540,10.585068097,-0.105899066,0,0.236498997,-0.971631733,-0.778462302,0.6276913613,0
1995-08-01,1995,8,32,42592,10.659421721,0.0743536245,0,0.6565857558,0.7542513807,0.4483832161,-0.893841424,0
1995-09-01,1995,9,33,38978,10.570752663,-0.088669058,0,-0.994951017,0.1003617149,-0.037690183,0.9992894726,0
1995-10-01,1995,10,34,38834,10.567051431,-0.003701233,0,0.4927273415,-0.870183755,-0.379779096,-0.925077207,0
1995-11-01,1995,11,35,37202,10.524117802,-0.042933628,0,0.4257792916,0.9048270525,0.7289686274,0.6845471059,0
1995-12-01,1995,12,36,35534,10.478245264,-0.045872539,0,-0.984564335,-0.175023059,-0.947098305,-0.32094361,0
1996-01-01,1996,1,37,36390,10.502049291,0.023804027,0,0.7115356772,-0.70264997,0.994951017,-0.100361715,0
1996-02-01,1996,2,38,40087,10.598807371,0.0967580806,0,0.1626371652,0.9866859442,-0.863923417,0.5036232016,0
1996-03-01,1996,3,39,44798,10.709918775,0.1111114033,0,-0.899405252,-0.437115767,0.5775727034,-0.816339251,0
1996-04-01,1996,4,40,42745,10.663007508,-0.046911266,0,0.87630668,-0.481753674,-0.187381315,0.9822872507,0
